,Unnamed: 0,Nombre,Nacimiento,PaÃ­s,year,month,day,trimestre
353,353,"Dervishi, Erald",1979-11-10,Albania,1979,11,10,4
354,354,"Deviatkin, Andrei",1980-10-07,Russia,1980,10,7,4
355,355,"Dgebuadze, Alexandre",1971-05-21,Soviet Union,1971,5,21,2
356,356,"Diamant, AndrÃ©",1990-02-09,Brazil,1990,2,9,1
357,357,"Diermair, Andreas",1986-09-29,Austria,1986,9,29,3
358,358,"DÃ­ez del Corral, JesÃºs",1933-04-06,Spain,1933,4,6,2
359,359,"Dimitrov, Radoslav",1993-03-27,Bulgaria,1993,3,27,1
360,360,"Dimitrov, Vladimir",1968-04-11,Bulgaria,1968,4,11,2
361,361,Ding Liren,1992-10-24,China,1992,10,24,4
362,362,"Dizdar, Goran",1958-12-04,Yugoslavia,1958,12,4,4
363,363,"DizdareviÄ, Emir",1958-04-02,Yugoslavia,1958,4,2,2
364,364,"DjukiÄ, Nikola",1983-01-26,Serbia and Montenegro,1983,1,26,1
365,365,"Djurhuus, Rune",1970-01-25,Norway,1970,1,25,1
366,366,"DjuriÄ, Stefan",1955-07-26,Yugoslavia,1955,7,26,3
368,368,"Dobrov, Vladimir",1984-04-13,Russia,1984,4,13,2
369,369,"Dokhoian, Yury",1964-10-26,Soviet Union,1964,10,26,4
370,370,"Dolmatov, Sergey",1959-02-20,Soviet Union,1959,2,20,1
372,372,"Domogaev, Sergey",1964-11-07,Russia,1964,11,7,4
373,373,"Donchenko, Alexander",1998-03-22,Germany,1998,3,22,1
374,374,"Donchev, Dimitar I.",1958-07-21,Bulgaria,1958,7,21,3
375,375,"Donner, Johannes Hendrikus",1927-07-06,Netherlands,1927,7,6,3
376,376,"Dorfman, Iossif",1952-05-01,Soviet Union,1952,5,1,2
377,377,"DÃ¶ttling, Fabian",1980-08-04,Germany,1980,8,4,3
378,378,"Dourerassou, Jonathan",1989-04-10,France,1989,4,10,2
379,379,"Dragnev, Valentin",1999-03-05,Austria,1999,3,5,1
380,380,"Dragun, Kamil",1995-06-25,Poland,1995,6,25,2
381,381,"DraÅ¡ko, Milan",1962-12-06,Yugoslavia (S&M),1962,12,6,4
